Student First Name,Student Last Name,Student Email,Supervisor Name,Marker Name,Module Codes (Separated by Semi colon)
Mario,Snyder,Mario.Snyder@ucal.ac.uk,Maria Maxwell,Eddie Fox,in3042;in3043;in3049;in3051
Danny,Lawrence,Danny.Lawrence@ucal.ac.uk,Gavin Olson,Olive Santos,IN3001;IN3007;IN3042;IN3043
Benjamin,Elliott,Benjamin.Elliott@ucal.ac.uk,Dean Wright,Carlos Vega,in3063;in3065;in3062;in3047
Glen,Ramos,Glen.Ramos@ucal.ac.uk,Essie Ramos,Hettie Carter,in3049;in3001;in3007;in3062;in3063;in3042
Margaret,Rodriquez,Margaret.Rodriquez@ucal.ac.uk,Hilda Osborne,Dale Myers,IN3001;IN3007;IN3005;IN3003
Jimmy,Wells,Jimmy.Wells@ucal.ac.uk,Charlotte Turner,Jeffrey Fletcher,in3042;in3043;in3049;in3051
Rena,Sandoval,Rena.Sandoval@ucal.ac.uk,Joel Munoz,Alejandro Oliver,IN3001;IN3007;IN3042;IN3043
Phoebe,Kennedy,Phoebe.Kennedy@ucal.ac.uk,Donald Walker,Erik Luna,in3063;in3065;in3062;in3047
Kevin,Gutierrez,Kevin.Gutierrez@ucal.ac.uk,Tillie Meyer,Gregory Drake,in3049;in3001;in3007;in3062;in3063;in3042
Rosetta,Jacobs,Rosetta.Jacobs@ucal.ac.uk,Eunice Fields,Viola Aguilar,IN3001;IN3007;IN3005;IN3003
Alice,Munoz,Alice.Munoz@ucal.ac.uk,Barbara Greer,Madge Berry,in3042;in3043;in3049;in3051
Josie,Rowe,Josie.Rowe@ucal.ac.uk,Linnie Maldonado,Elsie Wilkerson,IN3001;IN3007;IN3042;IN3043
Calvin,Harrison,Calvin.Harrison@ucal.ac.uk,Blanche Harris,Max Sherman,in3063;in3065;in3062;in3047
Miguel,Fowler,Miguel.Fowler@ucal.ac.uk,Sarah Cox,Adeline Baldwin,in3049;in3001;in3007;in3062;in3063;in3042
Maud,Walton,Maud.Walton@ucal.ac.uk,Bess Patrick,Hannah Martin,IN3001;IN3007;IN3042;IN3043
Nettie,Silva,Nettie.Silva@ucal.ac.uk,Cody Bryant,Leila Henry,in3063;in3065;in3062;in3047
Glen,McLaughlin,Glen.McLaughlin@ucal.ac.uk,Belle Barker,Lelia Castillo,in3049;in3001;in3007;in3062;in3063;in3042
Isabelle,Houston,Isabelle.Houston@ucal.ac.uk,Jose Silva,Charles Thomas,IN3001;IN3007;IN3005;IN3003
Viola,Boone,Viola.Boone@ucal.ac.uk,Ryan Estrada,Willie Bates,in3042;in3043;in3049;in3051
Frederick,Carson,Frederick.Carson@ucal.ac.uk,Alexander Campbell,Gussie Shaw,IN3001;IN3007;IN3042;IN3043
Mary,Rice,Mary.Rice@ucal.ac.uk,Linnie Howard,Albert Higgins,in3063;in3065;in3062;in3047
Mollie,Gibson,Mollie.Gibson@ucal.ac.uk,Edward Curry,Chester Bridges,in3049;in3001;in3007;in3062;in3063;in3042
Frank,Shaw,Frank.Shaw@ucal.ac.uk,Nathan Alvarado,Bess Bush,IN3001;IN3007;IN3042;IN3043
Nina,Nunez,Nina.Nunez@ucal.ac.uk,Loretta Peters,Jayden Bates,in3063;in3065;in3062;in3047
Mable,Curry,Mable.Curry@ucal.ac.uk,Roy Salazar,Maurice Crawford,in3049;in3001;in3007;in3062;in3063;in3042
Beatrice,McCormick,Beatrice.McCormick@ucal.ac.uk,Katherine Ramsey,Don Garcia,IN3001;IN3007;IN3005;IN3003
Gussie,Welch,Gussie.Welch@ucal.ac.uk,Leroy Harrison,Eric Wilson,IN3001;IN3007;IN3005;IN3003
Curtis,McCormick,Curtis.McCormick@ucal.ac.uk,Lina Austin,Floyd Pope,in3042;in3043;in3049;in3051
Russell,Robbins,Russell.Robbins@ucal.ac.uk,Cynthia Gonzales,Anthony Spencer,IN3001;IN3007;IN3042;IN3043
Tommy,Fernandez,Tommy.Fernandez@ucal.ac.uk,Louisa Webb,Lena Gibbs,IN3001;IN3007;IN3005;IN3003
Keith,Roberts,Keith.Roberts@ucal.ac.uk,Maria Maxwell,Eddie Fox,in3042;in3043;in3049;in3051
Lois,Carpenter,Lois.Carpenter@ucal.ac.uk,Gavin Olson,Olive Santos,IN3001;IN3007;IN3042;IN3043
Estelle,French,Estelle.French@ucal.ac.uk,Dean Wright,Carlos Vega,in3063;in3065;in3062;in3047
Luke,Weaver,Luke.Weaver@ucal.ac.uk,Essie Ramos,Hettie Carter,in3049;in3001;in3007;in3062;in3063;in3042
Marian,Stevens,Marian.Stevens@ucal.ac.uk,Hilda Osborne,Dale Myers,IN3001;IN3007;IN3005;IN3003
Dale,Chandler,Dale.Chandler@ucal.ac.uk,Charlotte Turner,Jeffrey Fletcher,in3042;in3043;in3049;in3051
Elsie,Paul,Elsie.Paul@ucal.ac.uk,Joel Munoz,Alejandro Oliver,IN3001;IN3007;IN3042;IN3043
Noah,McBride,Noah.McBride@ucal.ac.uk,Donald Walker,Erik Luna,in3063;in3065;in3062;in3047
Noah,Richards,Noah.Richards@ucal.ac.uk,Tillie Meyer,Gregory Drake,in3049;in3001;in3007;in3062;in3063;in3042
Mollie,Reid,Mollie.Reid@ucal.ac.uk,Eunice Fields,Viola Aguilar,in3042;in3043;in3049;in3051
Christopher,Ray,Christopher.Ray@ucal.ac.uk,Barbara Greer,Madge Berry,IN3001;IN3007;IN3042;IN3043
Leon,Patton,Leon.Patton@ucal.ac.uk,Linnie Maldonado,Elsie Wilkerson,in3063;in3065;in3062;in3047
Rodney,Moody,Rodney.Moody@ucal.ac.uk,Blanche Harris,Max Sherman,in3049;in3001;in3007;in3062;in3063;in3042
Loretta,Alvarez,Loretta.Alvarez@ucal.ac.uk,Sarah Cox,Adeline Baldwin,IN3001;IN3007;IN3005;IN3003
Harriet,Reyes,Harriet.Reyes@ucal.ac.uk,Bess Patrick,Hannah Martin,in3042;in3043;in3049;in3051
Glen,Huff,Glen.Huff@ucal.ac.uk,Cody Bryant,Leila Henry,IN3001;IN3007;IN3042;IN3043
Martin,Holt,Martin.Holt@ucal.ac.uk,Belle Barker,Lelia Castillo,in3049;in3001;in3007;in3062;in3063;in3042
Amelia,Gutierrez,Amelia.Gutierrez@ucal.ac.uk,Jose Silva,Charles Thomas,IN3001;IN3007;IN3005;IN3003
Herbert,Williamson,Herbert.Williamson@ucal.ac.uk,Ryan Estrada,Willie Bates,in3049;in3001;in3007;in3062;in3063;in3042
Rachel,Mitchell,Rachel.Mitchell@ucal.ac.uk,Alexander Campbell,Gussie Shaw,in3049;in3001;in3007;in3062;in3063;in3042
Ethel,Young,Ethel.Young@ucal.ac.uk,Linnie Howard,Albert Higgins,in3063;in3065;in3062;in3047
Marguerite,Tran,Marguerite.Tran@ucal.ac.uk,Edward Curry,Chester Bridges,in3049;in3001;in3007;in3062;in3063;in3042
Jesse,Robbins,Jesse.Robbins@ucal.ac.uk,Nathan Alvarado,Bess Bush,in3063;in3065;in3062;in3047
Cynthia,Houston,Cynthia.Houston@ucal.ac.uk,Loretta Peters,Jayden Bates,in3049;in3001;in3007;in3062;in3063;in3042
Miguel,King,Miguel.King@ucal.ac.uk,Roy Salazar,Maurice Crawford,IN3001;IN3007;IN3005;IN3003
Ronnie,Sims,Ronnie.Sims@ucal.ac.uk,Katherine Ramsey,Don Garcia,in3042;in3043;in3049;in3051
Benjamin,Phillips,Benjamin.Phillips@ucal.ac.uk,Leroy Harrison,Eric Wilson,IN3001;IN3007;IN3042;IN3043
Edgar,Lopez,Edgar.Lopez@ucal.ac.uk,Lina Austin,Floyd Pope,in3063;in3065;in3062;in3047
Lettie,Warner,Lettie.Warner@ucal.ac.uk,Cynthia Gonzales,Anthony Spencer,in3049;in3001;in3007;in3062;in3063;in3042
Julia,Lambert,Julia.Lambert@ucal.ac.uk,Louisa Webb,Lena Gibbs,in3049;in3001;in3007;in3062;in3063;in3042
